
Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,21,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682479.460	,5.680,23.980000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.692,42826,2.231,0.333,4.107,0.614,0.99,0.148,0.213,0.032,0.0,0.000
0,4294967295,22,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682504.860	,5.040,19.570000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.001,44807,2.231,0.319,4.318,0.617,1.06,0.151,0.249,0.036,0.0,0.000
0,4294967295,23,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682524.620	,4.740,14.710000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.359,47096,2.231,0.303,4.576,0.622,1.156,0.157,0.257,0.035,0.0,0.000
0,4294967295,24,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682543.900	,4.520,14.760000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.457,47727,2.231,0.299,4.687,0.629,1.179,0.158,0.236,0.032,0.0,0.000
0,4294967295,25,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682568.440	,4.460,19.980000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.361,47112,2.231,0.303,4.516,0.613,1.243,0.169,0.253,0.034,0.0,0.000
0,4294967295,26,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682593.020	,4.520,20.040000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.379,47228,2.231,0.302,4.573,0.62,1.188,0.161,0.27,0.037,0.0,0.000
0,4294967295,27,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682614.100	,4.540,16.480000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.594,47436,1.082,0.301,2.217,0.617,0.584,0.162,0.135,0.038,0.0,0.000
0,4294967295,28,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682633.500	,4.580,14.960000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.585,47325,1.082,0.302,2.193,0.612,0.6,0.167,0.13,0.036,0.0,0.000
0,4294967295,29,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682652.540	,4.480,14.420000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.535,46656,1.082,0.306,2.176,0.616,0.59,0.167,0.109,0.031,0.0,0.000
0,4294967295,30,47,MhcHeadCollapse,MhcHeadCollapse,dynamic,AI_VECTOR_CORE,1789185298682671.840	,4.460,14.770000,8,0,NO,"""1,8,1024;8,1024;8;1""",FLOAT16;FLOAT;FLOAT;FLOAT,ND;ND;ND;ND,"""1,8,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.565,47054,1.082,0.303,2.191,0.615,0.597,0.168,0.123,0.035,0.0,0.000
