Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,MhcHeadCollapse,AI_VECTOR_CORE,82,74,9.560,1789388013631399.885	,1789388013631409.445	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,75,9.540,1789388013631419.425	,1789388013631428.965	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,76,9.241,1789388013631428.985	,1789388013631438.226	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,77,9.220,1789388013631440.186	,1789388013631449.406	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,78,9.800,1789388013631449.426	,1789388013631459.226	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,79,9.840,1789388013631476.006	,1789388013631485.846	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,80,9.521,1789388013631485.886	,1789388013631495.407	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,81,8.880,1789388013631495.447	,1789388013631504.327	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,82,10.020,1789388013631504.347	,1789388013631514.367	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,83,9.780,1789388013631514.387	,1789388013631524.167	
0,N/A,EVENT_RECORD,82,84,0.020,1789388013631524.187	,1789388013631524.207	
0,N/A,EVENT_RECORD,82,85,0.020,1789388013631568.168	,1789388013631568.188	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,86,9.540,1789388013631569.708	,1789388013631579.248	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,87,9.520,1789388013631588.989	,1789388013631598.509	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,88,9.260,1789388013631598.529	,1789388013631607.789	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,89,9.220,1789388013631609.949	,1789388013631619.169	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,90,9.840,1789388013631619.189	,1789388013631629.029	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,91,9.841,1789388013631630.709	,1789388013631640.550	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,92,9.540,1789388013631640.570	,1789388013631650.110	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,93,9.560,1789388013631650.130	,1789388013631659.690	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,94,10.100,1789388013631659.710	,1789388013631669.810	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,95,9.780,1789388013631669.830	,1789388013631679.610	
0,N/A,EVENT_RECORD,82,96,0.020,1789388013631679.630	,1789388013631679.650	
0,N/A,EVENT_RECORD,82,97,0.020,1789388013631732.491	,1789388013631732.511	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,98,9.560,1789388013631738.652	,1789388013631748.212	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,99,9.520,1789388013631755.932	,1789388013631765.452	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,100,9.220,1789388013631765.472	,1789388013631774.692	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,101,9.240,1789388013631776.892	,1789388013631786.132	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,102,9.881,1789388013631786.152	,1789388013631796.033	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,103,9.880,1789388013631796.053	,1789388013631805.933	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,104,9.540,1789388013631805.953	,1789388013631815.493	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,105,10.040,1789388013631815.513	,1789388013631825.553	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,106,10.080,1789388013631825.573	,1789388013631835.653	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,107,9.801,1789388013631835.693	,1789388013631845.494	
0,N/A,EVENT_RECORD,82,108,0.020,1789388013631845.514	,1789388013631845.534	
0,N/A,EVENT_RECORD,82,109,0.020,1789388013631886.514	,1789388013631886.534	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,110,9.560,1789388013631906.375	,1789388013631915.935	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,111,8.960,1789388013631915.955	,1789388013631924.915	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,112,9.241,1789388013631929.315	,1789388013631938.556	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,113,9.240,1789388013631938.576	,1789388013631947.816	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,114,9.880,1789388013631947.836	,1789388013631957.716	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,115,9.860,1789388013631957.736	,1789388013631967.596	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,116,10.020,1789388013631967.616	,1789388013631977.636	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,117,9.560,1789388013631977.656	,1789388013631987.216	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,118,10.081,1789388013631987.256	,1789388013631997.337	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,119,9.740,1789388013631997.377	,1789388013632007.117	
0,N/A,EVENT_RECORD,82,120,0.020,1789388013632007.137	,1789388013632007.157	
0,N/A,EVENT_RECORD,82,121,0.020,1789388013632055.678	,1789388013632055.698	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,122,9.560,1789388013632061.858	,1789388013632071.418	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,123,9.500,1789388013632078.658	,1789388013632088.158	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,124,9.241,1789388013632088.178	,1789388013632097.419	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,125,9.220,1789388013632099.559	,1789388013632108.779	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,126,9.880,1789388013632108.799	,1789388013632118.679	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,127,9.840,1789388013632118.699	,1789388013632128.539	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,128,9.541,1789388013632128.559	,1789388013632138.100	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,129,9.560,1789388013632138.120	,1789388013632147.680	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,130,9.180,1789388013632147.700	,1789388013632156.880	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,131,9.400,1789388013632156.900	,1789388013632166.300	
0,N/A,EVENT_RECORD,82,132,0.020,1789388013632166.320	,1789388013632166.340	
0,N/A,EVENT_RECORD,82,133,0.020,1789388013632205.121	,1789388013632205.141	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,134,9.600,1789388013632210.361	,1789388013632219.961	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,135,9.261,1789388013632228.121	,1789388013632237.382	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,136,9.240,1789388013632237.402	,1789388013632246.642	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,137,9.160,1789388013632249.022	,1789388013632258.182	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,138,9.840,1789388013632258.202	,1789388013632268.042	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,139,9.920,1789388013632269.742	,1789388013632279.662	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,140,9.541,1789388013632279.682	,1789388013632289.223	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,141,9.560,1789388013632289.243	,1789388013632298.803	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,142,10.080,1789388013632298.823	,1789388013632308.903	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,143,9.740,1789388013632308.923	,1789388013632318.663	
0,N/A,EVENT_RECORD,82,144,0.020,1789388013632318.703	,1789388013632318.723	
0,N/A,EVENT_RECORD,82,145,0.020,1789388013632353.524	,1789388013632353.544	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,146,9.580,1789388013632373.264	,1789388013632382.844	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,147,9.521,1789388013632382.864	,1789388013632392.385	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,148,9.260,1789388013632394.205	,1789388013632403.465	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,149,9.240,1789388013632403.505	,1789388013632412.745	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,150,9.880,1789388013632415.205	,1789388013632425.085	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,151,9.860,1789388013632425.105	,1789388013632434.965	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,152,9.541,1789388013632435.005	,1789388013632444.546	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,153,9.580,1789388013632444.566	,1789388013632454.146	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,154,10.100,1789388013632454.166	,1789388013632464.266	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,155,9.780,1789388013632464.306	,1789388013632474.086	
0,N/A,EVENT_RECORD,82,156,0.020,1789388013632474.126	,1789388013632474.146	
0,N/A,EVENT_RECORD,82,157,0.020,1789388013632519.547	,1789388013632519.567	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,158,9.560,1789388013632523.827	,1789388013632533.387	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,159,9.520,1789388013632542.808	,1789388013632552.328	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,160,9.240,1789388013632552.348	,1789388013632561.588	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,161,9.220,1789388013632566.188	,1789388013632575.408	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,162,9.860,1789388013632575.428	,1789388013632585.288	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,163,9.901,1789388013632585.308	,1789388013632595.209	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,164,9.540,1789388013632595.249	,1789388013632604.789	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,165,9.560,1789388013632604.809	,1789388013632614.369	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,166,10.101,1789388013632630.549	,1789388013632640.650	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,167,9.720,1789388013632640.670	,1789388013632650.390	
0,N/A,EVENT_RECORD,82,168,0.020,1789388013632650.410	,1789388013632650.430	
0,N/A,EVENT_RECORD,82,169,0.020,1789388013632691.131	,1789388013632691.151	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,170,9.600,1789388013632693.371	,1789388013632702.971	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,171,9.520,1789388013632712.291	,1789388013632721.811	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,172,9.240,1789388013632721.831	,1789388013632731.071	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,173,9.241,1789388013632733.211	,1789388013632742.452	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,174,9.160,1789388013632742.472	,1789388013632751.632	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,175,9.860,1789388013632751.652	,1789388013632761.512	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,176,9.540,1789388013632761.532	,1789388013632771.072	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,177,9.540,1789388013632771.112	,1789388013632780.652	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,178,10.021,1789388013632780.672	,1789388013632790.693	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,179,9.760,1789388013632790.713	,1789388013632800.473	
0,N/A,EVENT_RECORD,82,180,0.020,1789388013632800.493	,1789388013632800.513	
0,N/A,EVENT_RECORD,82,181,0.020,1789388013632841.954	,1789388013632841.974	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,182,9.560,1789388013632857.914	,1789388013632867.474	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,183,9.520,1789388013632878.234	,1789388013632887.754	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,184,9.581,1789388013632887.774	,1789388013632897.355	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,185,9.200,1789388013632899.255	,1789388013632908.455	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,186,9.380,1789388013632908.475	,1789388013632917.855	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,187,9.720,1789388013632917.875	,1789388013632927.595	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,188,10.000,1789388013632927.615	,1789388013632937.615	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,189,9.521,1789388013632937.635	,1789388013632947.156	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,190,9.680,1789388013632947.176	,1789388013632956.856	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,191,9.940,1789388013632956.876	,1789388013632966.816	
0,N/A,EVENT_RECORD,82,192,0.020,1789388013632966.836	,1789388013632966.856	
0,N/A,EVENT_RECORD,82,193,0.020,1789388013633004.617	,1789388013633004.637	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,194,9.580,1789388013633024.697	,1789388013633034.277	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,195,9.541,1789388013633034.297	,1789388013633043.838	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,196,9.300,1789388013633043.858	,1789388013633053.158	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,197,9.220,1789388013633053.178	,1789388013633062.398	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,198,9.760,1789388013633062.418	,1789388013633072.178	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,199,9.860,1789388013633072.198	,1789388013633082.058	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,200,9.541,1789388013633082.078	,1789388013633091.619	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,201,9.580,1789388013633091.639	,1789388013633101.219	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,202,10.120,1789388013633101.239	,1789388013633111.359	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,203,9.800,1789388013633111.379	,1789388013633121.179	
0,N/A,EVENT_RECORD,82,204,0.020,1789388013633121.199	,1789388013633121.219	
0,N/A,EVENT_RECORD,82,205,0.020,1789388013633156.880	,1789388013633156.900	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,206,9.580,1789388013633173.980	,1789388013633183.560	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,207,9.500,1789388013633193.521	,1789388013633203.021	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,208,9.180,1789388013633203.041	,1789388013633212.221	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,209,9.240,1789388013633214.461	,1789388013633223.701	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,210,9.860,1789388013633223.721	,1789388013633233.581	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,211,9.881,1789388013633233.601	,1789388013633243.482	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,212,9.560,1789388013633243.502	,1789388013633253.062	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,213,9.560,1789388013633253.102	,1789388013633262.662	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,214,10.100,1789388013633262.682	,1789388013633272.782	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,215,9.780,1789388013633272.802	,1789388013633282.582	
0,N/A,EVENT_RECORD,82,216,0.000,1789388013633282.622	,1789388013633282.622	
0,N/A,EVENT_RECORD,82,217,0.020,1789388013633321.643	,1789388013633321.663	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,218,9.520,1789388013633341.444	,1789388013633350.964	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,219,9.540,1789388013633360.944	,1789388013633370.484	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,220,9.240,1789388013633370.504	,1789388013633379.744	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,221,9.520,1789388013633379.764	,1789388013633389.284	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,222,9.861,1789388013633389.304	,1789388013633399.165	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,223,9.900,1789388013633399.185	,1789388013633409.085	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,224,9.520,1789388013633409.105	,1789388013633418.625	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,225,9.540,1789388013633418.665	,1789388013633428.205	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,226,10.020,1789388013633428.225	,1789388013633438.245	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,227,9.801,1789388013633438.265	,1789388013633448.066	
0,N/A,EVENT_RECORD,82,228,0.020,1789388013633448.086	,1789388013633448.106	
0,N/A,EVENT_RECORD,82,229,0.000,1789388013633493.027	,1789388013633493.027	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,230,9.580,1789388013633510.107	,1789388013633519.687	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,231,9.500,1789388013633519.727	,1789388013633529.227	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,232,9.241,1789388013633531.007	,1789388013633540.248	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,233,9.240,1789388013633540.268	,1789388013633549.508	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,234,9.900,1789388013633551.808	,1789388013633561.708	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,235,9.920,1789388013633561.748	,1789388013633571.668	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,236,10.020,1789388013633571.688	,1789388013633581.708	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,237,9.561,1789388013633581.728	,1789388013633591.289	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,238,10.100,1789388013633591.309	,1789388013633601.409	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,239,9.780,1789388013633601.429	,1789388013633611.209	
0,N/A,EVENT_RECORD,82,240,0.020,1789388013633611.229	,1789388013633611.249	
0,N/A,EVENT_RECORD,82,241,0.000,1789388013633653.750	,1789388013633653.750	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,242,9.540,1789388013633673.450	,1789388013633682.990	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,243,9.501,1789388013633683.010	,1789388013633692.511	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,244,9.280,1789388013633694.231	,1789388013633703.511	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,245,9.240,1789388013633703.531	,1789388013633712.771	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,246,9.880,1789388013633712.791	,1789388013633722.671	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,247,9.840,1789388013633722.691	,1789388013633732.531	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,248,9.541,1789388013633732.571	,1789388013633742.112	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,249,9.560,1789388013633742.132	,1789388013633751.692	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,250,10.020,1789388013633751.712	,1789388013633761.732	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,251,9.760,1789388013633761.752	,1789388013633771.512	
0,N/A,EVENT_RECORD,82,252,0.020,1789388013633771.532	,1789388013633771.552	
0,N/A,EVENT_RECORD,82,253,0.020,1789388013633819.233	,1789388013633819.253	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,254,9.580,1789388013633825.333	,1789388013633834.913	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,255,9.540,1789388013633842.274	,1789388013633851.814	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,256,9.340,1789388013633851.834	,1789388013633861.174	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,257,8.720,1789388013633862.654	,1789388013633871.374	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,258,9.820,1789388013633871.394	,1789388013633881.214	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,259,9.401,1789388013633883.374	,1789388013633892.775	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,260,9.660,1789388013633892.795	,1789388013633902.455	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,261,9.900,1789388013633902.475	,1789388013633912.375	
0,MhcHeadCollapse,AI_VECTOR_CORE,82,262,9.620,1789388013633912.395	,1789388013633922.015	
